tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,grouped_reduce_mean_singlecol,1000000,1000000,1000,4,3.3562515000000024e9,0.0,0,0
dask,grouped_reduce_mean_singlecol,10000000,1000000,1000,4,3.7368464999999986e9,0.0,0,0
dask,grouped_reduce_mean_singlecol,100000000,1000000,1000,4,5.262327599999991e9,0.0,0,0
dask,grouped_reduce_mean_singlecol,500000000,1000000,1000,4,1.3511424499999975e10,0.0,0,0
dask,grouped_reduce_mean_singlecol,1000000000,1000000,1000,4,1.0823913449999998e11,0.0,0,0
dataframesjl,grouped_reduce_mean_singlecol,1000000,1000000,1000,4,959000.0,0.0,81832,1530
dataframesjl,grouped_reduce_mean_singlecol,10000000,1000000,1000,4,1.19685e7,0.0,81832,1530
dataframesjl,grouped_reduce_mean_singlecol,100000000,1000000,1000,4,1.946613e8,0.0,81864,1531
dataframesjl,grouped_reduce_mean_singlecol,500000000,1000000,1000,4,1.0775247e9,0.0,81832,1530
dataframesjl,grouped_reduce_mean_singlecol,1000000000,1000000,1000,4,2.2546678e9,0.0,81832,1530
dtable,grouped_reduce_mean_singlecol,1000000,1000000,1000,4,2.506275e8,1.90346e7,123770712,1886651
dtable,grouped_reduce_mean_singlecol,10000000,1000000,1000,4,2.642057e8,0.0,135999832,2077646
dtable,grouped_reduce_mean_singlecol,100000000,1000000,1000,4,4.381553e8,0.0,192555066,3032269
dtable,grouped_reduce_mean_singlecol,500000000,1000000,1000,4,1.284026e9,2.652038e8,341558504,5853031
dtable,grouped_reduce_mean_singlecol,1000000000,1000000,1000,4,5.2561693e9,3.4158188e9,464004472,10098237
