tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,filter_half,1000000,10000000,1000,4,3.6625100000000186e7,0.0,0,0
dask,filter_half,10000000,10000000,1000,4,2.0778319999999973e8,0.0,0,0
dask,filter_half,100000000,10000000,1000,4,1.2869199e9,0.0,0,0
dask,filter_half,500000000,10000000,1000,4,7.7421364e9,0.0,0,0
dask,filter_half,1000000000,10000000,1000,4,8.133146959999998e10,0.0,0,0
dataframesjl,filter_half,1000000,10000000,1000,4,9.18281e7,411100.0,51933952,2487022
dataframesjl,filter_half,10000000,10000000,1000,4,9.219137e8,2.04083e7,519323120,24881420
dataframesjl,filter_half,100000000,10000000,1000,4,8.1544441e9,4.55311e7,5193326992,248796933
dataframesjl,filter_half,500000000,10000000,1000,4,4.47347709e10,2.71893e8,25966447760,1243997116
dataframesjl,filter_half,1000000000,10000000,1000,4,1.293018982e11,4.434039e8,51932839728,2488019339
dtable,filter_half,1000000,10000000,1000,4,4.75089e7,0.0,21057232,489854
dtable,filter_half,10000000,10000000,1000,4,5.042145e8,0.0,235006720,4884504
dtable,filter_half,100000000,10000000,1000,4,2.7093878e9,1.785857e8,2349441904,48819026
dtable,filter_half,500000000,10000000,1000,4,1.38348842e10,1.4184693e9,11749955856,244165588
dtable,filter_half,1000000000,10000000,1000,4,2.87462728e10,2.7068428e9,23504139712,488441387
